image,xmin,ymin,xmax,ymax,label
foto04235.png,35,5,1280,685,drone
pic_849.jpg,94,176,703,389,drone
pic_328.jpg,191,94,384,201,drone
pic_1130.jpg,93,171,1092,612,drone
pic_014.jpg,42,31,784,425,drone
pic_315.jpg,20,150,640,487,drone
moto03945.png,648,47,1008,286,drone
moto16038.png,347,191,861,381,drone
pic_721.jpg,60,95,798,379,drone
pic_213.jpg,64,223,1356,709,drone
pic_720.jpg,89,163,1097,580,drone
foto00987.png,382,127,916,581,drone
yoto01219.png,172,319,696,419,drone
pic_836.jpg,59,79,441,312,drone
pic_207.jpg,1,103,178,174,drone
pic_472.jpg,22,80,566,351,drone
foto01016.png,202,122,752,634,drone
pic_1059.jpg,11,61,474,266,drone
pic_774.jpg,47,218,1000,561,drone
pic_301.jpg,5,52,237,201,drone
pic_715.jpg,414,11,1194,429,drone
pic_049.jpg,9,204,770,568,drone
pic_314.jpg,20,178,1500,1060,drone
pic_991.jpg,22,82,845,257,drone
foto14414.png,533,278,572,317,drone
pic_654.jpg,7,74,500,275,drone
pic_1090.jpg,52,11,1600,1184,drone
pic_905.jpg,3,2,269,157,drone
pic_165.jpg,191,205,1036,778,drone
pic_235.jpg,104,203,392,362,drone
moto16357.png,591,354,647,379,drone
pic_414.jpg,76,58,330,121,drone
pic_1156.jpg,252,434,986,817,drone
yoto10731.png,458,147,714,350,drone
yoto01277.png,127,328,641,503,drone
pic_032.jpg,8,33,431,323,drone
pic_759.jpg,29,206,603,404,drone
pic_856.jpg,103,160,834,460,drone
pic_559.jpg,131,106,617,358,drone
pic_273.jpg,18,50,300,223,drone
pic_666.jpg,10,8,886,460,drone
yoto00436.png,169,268,684,565,drone
pic_547.jpg,24,20,630,127,drone
pic_927.jpg,113,69,421,257,drone
pic_062.jpg,5,11,297,297,drone
pic_486.jpg,4,56,443,296,drone
yoto10383.png,192,312,632,417,drone
pic_729.jpg,20,79,860,452,drone
pic_253.jpg,2,7,498,222,drone
moto12152.png,422,133,997,681,drone
pic_678.jpg,17,23,551,381,drone
pic_272.jpg,11,115,1142,799,drone
pic_084.jpg,14,140,584,392,drone
pic_837.jpg,1130,868,1900,1477,drone
foto14356.png,592,303,668,361,drone
foto00320.png,473,540,720,708,drone
pic_887.jpg,16,130,492,290,drone
foto04380.png,6,7,1280,715,drone
pic_484.jpg,2,81,300,221,drone
pic_725.jpg,169,194,1837,667,drone
pic_859.jpg,4,86,356,220,drone
pic_555.jpg,14,16,595,203,drone
moto03858.png,637,42,1007,282,drone
pic_417.jpg,113,39,329,187,drone
foto01393.png,568,115,1054,525,drone
pic_802.jpg,337,119,636,269,drone
foto14443.png,580,205,615,243,drone
foto01857.png,399,238,858,648,drone
moto02466.png,614,145,915,345,drone
foto02031.png,408,203,894,606,drone
pic_517.jpg,497,82,659,154,drone
pic_1166.jpg,97,93,470,419,drone
pic_515.jpg,300,41,568,122,drone
pic_083.jpg,106,132,763,377,drone
moto02408.png,602,68,943,296,drone
pic_708.jpg,98,29,900,725,drone
pic_1169.jpg,125,113,378,348,drone
